Peak 1:,,,Peak 2:,
409.9163,0.40586,,410.0353,0.40603
409.9164,0.40628,,410.0354,0.40586
409.9165,0.40581,,410.0355,0.40587
409.9166,0.40585,,410.0356,0.40554
409.9167,0.40609,,410.0357,0.40585
409.9168,0.40583,,410.0358,0.40593
409.9169,0.40591,,410.0359,0.40588
409.917,0.40606,,410.036,0.40561
409.9171,0.40608,,410.0361,0.40594
409.9172,0.40575,,410.0362,0.40576
409.9173,0.40619,,410.0363,0.40587
409.9174,0.406,,410.0364,0.4058
409.9175,0.40581,,410.0365,0.40578
409.9176,0.40574,,410.0366,0.40599
409.9177,0.40585,,410.0367,0.40577
409.9178,0.40592,,410.0368,0.4056
409.9179,0.40577,,410.0369,0.40593
409.918,0.40619,,410.037,0.40587
409.9181,0.40615,,410.0371,0.40577
409.9182,0.40602,,410.0372,0.4057
409.9183,0.40602,,410.0373,0.40583
409.9184,0.40572,,410.0374,0.40586
409.9185,0.40588,,410.0375,0.40578
409.9186,0.40614,,410.0376,0.40574
409.9187,0.40592,,410.0377,0.40619
409.9188,0.40649,,410.0378,0.40572
409.9189,0.40615,,410.0379,0.40587
409.919,0.40596,,410.038,0.40526
409.9191,0.40617,,410.0381,0.40559
409.9192,0.40624,,410.0382,0.40572
409.9193,0.40649,,410.0383,0.4062
409.9194,0.40589,,410.0384,0.40574
409.9195,0.40596,,410.0385,0.40544
409.9196,0.4065,,410.0386,0.40575
409.9197,0.40606,,410.0387,0.40577
409.9198,0.40644,,410.0388,0.40565
409.9199,0.40619,,410.0389,0.406
409.92,0.40619,,410.039,0.40592
409.9201,0.40576,,410.0391,0.40586
409.9202,0.40594,,410.0392,0.40615
409.9203,0.40603,,410.0393,0.4056
409.9204,0.40637,,410.0394,0.40596
409.9205,0.40587,,410.0395,0.40545
409.9206,0.40628,,410.0396,0.4055
409.9207,0.40624,,410.0397,0.40625
409.9208,0.40637,,410.0398,0.40567
409.9209,0.40605,,410.0399,0.40563
409.921,0.40605,,410.04,0.40576
409.9211,0.40642,,410.0401,0.40602
409.9212,0.40599,,410.0402,0.40587
409.9213,0.40598,,410.0403,0.40598
409.9214,0.40605,,410.0404,0.40605
409.9215,0.40627,,410.0405,0.40581
409.9216,0.40611,,410.0406,0.40585
409.9217,0.40606,,410.0407,0.40572
409.9218,0.40585,,410.0408,0.40571
409.9219,0.40626,,410.0409,0.40577
409.922,0.40624,,410.041,0.40589
409.9221,0.40631,,410.0411,0.4058
409.9222,0.40582,,410.0412,0.40583
409.9223,0.40605,,410.0413,0.40583
409.9224,0.40597,,410.0414,0.40567
409.9225,0.40633,,410.0415,0.40569
409.9226,0.40614,,410.0416,0.40615
409.9227,0.40631,,410.0417,0.40566
409.9228,0.40627,,410.0418,0.40545
409.9229,0.40627,,410.0419,0.40571
409.923,0.40606,,410.042,0.40589
409.9231,0.40637,,410.0421,0.40599
409.9232,0.40574,,410.0422,0.40592
409.9233,0.40599,,410.0423,0.4057
409.9234,0.40646,,410.0424,0.4062
409.9235,0.406,,410.0425,0.40583
409.9236,0.40591,,410.0426,0.40611
409.9237,0.40652,,410.0427,0.40592
409.9238,0.40641,,410.0428,0.40593
409.9239,0.40643,,410.0429,0.40594
409.924,0.40617,,410.043,0.40616
409.9241,0.40632,,410.0431,0.40616
409.9242,0.40625,,410.0432,0.4058
409.9243,0.40606,,410.0433,0.40604
409.9244,0.40646,,410.0434,0.40569
409.9245,0.40583,,410.0435,0.40587
409.9246,0.40609,,410.0436,0.40599
409.9247,0.40622,,410.0437,0.40589
409.9248,0.40643,,410.0438,0.40574
409.9249,0.40625,,410.0439,0.40592
409.925,0.40608,,410.044,0.40592
409.9251,0.40631,,410.0441,0.40586
409.9252,0.4063,,410.0442,0.40586
409.9253,0.40605,,410.0443,0.40592
409.9254,0.40637,,410.0444,0.40593
409.9255,0.40649,,410.0445,0.40632
409.9256,0.40621,,410.0446,0.40604
409.9257,0.40628,,410.0447,0.40613
409.9258,0.40639,,410.0448,0.40594
409.9259,0.40648,,410.0449,0.4058
409.926,0.40626,,410.045,0.40585
409.9261,0.40638,,410.0451,0.40587
409.9262,0.40622,,410.0452,0.40604
409.9263,0.40636,,410.0453,0.40577
409.9264,0.40622,,410.0454,0.40541
409.9265,0.40608,,410.0455,0.4058
409.9266,0.40632,,410.0456,0.40575
409.9267,0.40617,,410.0457,0.40583
409.9268,0.40643,,410.0458,0.40617
409.9269,0.40617,,410.0459,0.40589
409.927,0.40653,,410.046,0.40628
409.9271,0.40609,,410.0461,0.40577
409.9272,0.40582,,410.0462,0.40598
409.9273,0.40633,,410.0463,0.40582
409.9274,0.40649,,410.0464,0.40588
409.9275,0.40667,,410.0465,0.4056
409.9276,0.40642,,410.0466,0.40553
409.9277,0.40631,,410.0467,0.40553
409.9278,0.40653,,410.0468,0.40594
409.9279,0.40631,,410.0469,0.40598
409.928,0.40696,,410.047,0.40543
409.9281,0.40653,,410.0471,0.40617
409.9282,0.40658,,410.0472,0.40616
409.9283,0.40641,,410.0473,0.40577
409.9284,0.40648,,410.0474,0.40597
409.9285,0.4061,,410.0475,0.40603
409.9286,0.40642,,410.0476,0.40615
409.9287,0.40616,,410.0477,0.40597
409.9288,0.40617,,410.0478,0.40593
409.9289,0.40652,,410.0479,0.40602
409.929,0.40622,,410.048,0.40593
409.9291,0.40647,,410.0481,0.40575
409.9292,0.4063,,410.0482,0.40594
409.9293,0.40617,,410.0483,0.40597
409.9294,0.40727,,410.0484,0.40599
409.9295,0.40611,,410.0485,0.40594
409.9296,0.40644,,410.0486,0.40594
409.9297,0.40666,,410.0487,0.40608
409.9298,0.40613,,410.0488,0.4058
409.9299,0.40649,,410.0489,0.40586
409.93,0.40636,,410.049,0.40581
409.9301,0.40641,,410.0491,0.40577
409.9302,0.40675,,410.0492,0.40596
409.9303,0.40661,,410.0493,0.40592
409.9304,0.4068,,410.0494,0.40571
409.9305,0.40637,,410.0495,0.40597
409.9306,0.40663,,410.0496,0.40599
409.9307,0.40622,,410.0497,0.40575
409.9308,0.40625,,410.0498,0.40582
409.9309,0.40658,,410.0499,0.40554
409.931,0.40671,,410.05,0.40597
409.9311,0.40648,,410.0501,0.4062
409.9312,0.40624,,410.0502,0.40603
409.9313,0.40655,,410.0503,0.40593
409.9314,0.40639,,410.0504,0.40571
409.9315,0.40646,,410.0505,0.40598
409.9316,0.40616,,410.0506,0.40603
409.9317,0.40678,,410.0507,0.40611
409.9318,0.40631,,410.0508,0.40593
409.9319,0.4066,,410.0509,0.40598
409.932,0.40698,,410.051,0.40622
409.9321,0.40639,,410.0511,0.40585
409.9322,0.40631,,410.0512,0.4058
409.9323,0.40661,,410.0513,0.40591
409.9324,0.40617,,410.0514,0.40576
409.9325,0.40624,,410.0515,0.40592
409.9326,0.40633,,410.0516,0.40606
409.9327,0.4068,,410.0517,0.4062
409.9328,0.40641,,410.0518,0.40606
409.9329,0.40672,,410.0519,0.40581
409.933,0.40637,,410.052,0.40587
409.9331,0.40635,,410.0521,0.40609
409.9332,0.40639,,410.0522,0.40591
409.9333,0.40659,,410.0523,0.4063
409.9334,0.40692,,410.0524,0.40581
409.9335,0.40663,,410.0525,0.40572
409.9336,0.40664,,410.0526,0.40588
409.9337,0.40663,,410.0527,0.40576
409.9338,0.40649,,410.0528,0.40599
409.9339,0.40664,,410.0529,0.40558
409.934,0.40655,,410.053,0.40594
409.9341,0.40655,,410.0531,0.40583
409.9342,0.4068,,410.0532,0.40604
409.9343,0.40633,,410.0533,0.40564
409.9344,0.40594,,410.0534,0.40574
409.9345,0.40659,,410.0535,0.40567
409.9346,0.40617,,410.0536,0.40576
409.9347,0.40627,,410.0537,0.4058
409.9348,0.40644,,410.0538,0.40578
409.9349,0.40659,,410.0539,0.40586
409.935,0.4065,,410.054,0.40581
409.9351,0.40675,,410.0541,0.40575
409.9352,0.40669,,410.0542,0.40583
409.9353,0.40653,,410.0543,0.40583
409.9354,0.40688,,410.0544,0.40582
409.9355,0.40693,,410.0545,0.40592
409.9356,0.40682,,410.0546,0.40585
409.9357,0.40655,,410.0547,0.40561
409.9358,0.40672,,410.0548,0.40577
409.9359,0.40636,,410.0549,0.40632
409.936,0.40649,,410.055,0.40552
409.9361,0.40632,,410.0551,0.40596
409.9362,0.40654,,410.0552,0.40569
409.9363,0.40655,,410.0553,0.4062
409.9364,0.40646,,410.0554,0.4058
409.9365,0.40622,,410.0555,0.40561
409.9366,0.40652,,410.0556,0.40588
409.9367,0.40677,,410.0557,0.40565
409.9368,0.40633,,410.0558,0.40559
409.9369,0.40672,,410.0559,0.40574
409.937,0.40603,,410.056,0.4057
409.9371,0.40666,,410.0561,0.40582
409.9372,0.4063,,410.0562,0.40599
409.9373,0.40646,,410.0563,0.40552
409.9374,0.40655,,410.0564,0.40603
409.9375,0.40669,,410.0565,0.40581
409.9376,0.40643,,410.0566,0.40585
409.9377,0.4063,,410.0567,0.40582
409.9378,0.40636,,410.0568,0.40548
409.9379,0.40624,,410.0569,0.4058
409.938,0.40644,,410.057,0.40559
409.9381,0.40663,,410.0571,0.40563
409.9382,0.40625,,410.0572,0.40577
409.9383,0.40638,,410.0573,0.40585
409.9384,0.40642,,410.0574,0.40532
409.9385,0.40617,,410.0575,0.40575
409.9386,0.40617,,410.0576,0.40572
409.9387,0.4065,,410.0577,0.40567
409.9388,0.40658,,410.0578,0.40567
409.9389,0.40646,,410.0579,0.40543
409.939,0.40669,,410.058,0.40561
409.9391,0.40678,,410.0581,0.40561
409.9392,0.4063,,410.0582,0.40563
409.9393,0.40658,,410.0583,0.40554
409.9394,0.40652,,410.0584,0.40593
409.9395,0.40648,,410.0585,0.40596
409.9396,0.40624,,410.0586,0.40548
409.9397,0.40657,,410.0587,0.40536
409.9398,0.40633,,410.0588,0.40589
409.9399,0.40638,,410.0589,0.40574
409.94,0.40587,,410.059,0.40571
409.9401,0.40649,,410.0591,0.40558
409.9402,0.40635,,410.0592,0.40586
409.9403,0.40602,,410.0593,0.4053
409.9404,0.40635,,410.0594,0.40566
409.9405,0.40661,,410.0595,0.40539
409.9406,0.40652,,410.0596,0.40564
409.9407,0.40646,,410.0597,0.40542
409.9408,0.40589,,410.0598,0.4057
409.9409,0.40605,,410.0599,0.40558
409.941,0.40639,,410.06,0.40563
409.9411,0.40639,,410.0601,0.40558
409.9412,0.40647,,410.0602,0.40569
409.9413,0.40643,,410.0603,0.40628
409.9414,0.40631,,410.0604,0.40582
409.9415,0.40604,,410.0605,0.40561
409.9416,0.40643,,410.0606,0.40537
409.9417,0.40647,,410.0607,0.40556
409.9418,0.4062,,410.0608,0.40569
