eta,Re1_c,Taylor,k_c
0.61,72.2769,2530.8599,3.14721
0.609,72.2189,2534.8534,3.14733
0.608,72.1614,2538.864,3.14744
0.607,72.1042,2542.8915,3.14755
0.606,72.0475,2546.9363,3.14766
0.605,71.9911,2550.9984,3.14777
0.604,71.9352,2555.0778,3.14789
0.603,71.8797,2559.1748,3.148
0.602,71.8247,2563.2893,3.14811
0.601,71.77,2567.4216,3.14823
0.6,71.7157,2571.5717,3.14834
0.599,71.6619,2575.7397,3.14846
0.598,71.6084,2579.9257,3.14858
0.597,71.5553,2584.1299,3.14869
0.596,71.5027,2588.3523,3.14881
0.595,71.4505,2592.5931,3.14893
0.594,71.3986,2596.8524,3.14904
0.593,71.3472,2601.1302,3.14916
0.592,71.2961,2605.4268,3.14928
0.591,71.2455,2609.7422,3.1494
0.59,71.1952,2614.0765,3.14952
0.589,71.1453,2618.4299,3.14964
0.588,71.0959,2622.8024,3.14976
0.587,71.0468,2627.1943,3.14988
0.586,70.9981,2631.6055,3.15
0.585,70.9498,2636.0363,3.15012
0.584,70.9019,2640.4868,3.15025
0.583,70.8544,2644.957,3.15037
0.582,70.8072,2649.4471,3.15049
0.581,70.7605,2653.9572,3.15062
0.58,70.7141,2658.4875,3.15074
0.579,70.6681,2663.0381,3.15087
0.578,70.6225,2667.6091,3.15099
0.577,70.5773,2672.2006,3.15112
0.576,70.5325,2676.8128,3.15125
0.575,70.488,2681.4457,3.15137
0.574,70.4439,2686.0996,3.1515
0.573,70.4002,2690.7746,3.15163
0.572,70.3569,2695.4708,3.15176
0.571,70.3139,2700.1883,3.15189
0.57,70.2714,2704.9272,3.15201
0.569,70.2292,2709.6878,3.15214
0.568,70.1873,2714.4701,3.15228
0.567,70.1459,2719.2743,3.15241
0.566,70.1048,2724.1005,3.15254
0.565,70.0641,2728.9489,3.15267
0.564,70.0237,2733.8196,3.1528
0.563,69.9837,2738.7128,3.15294
0.562,69.9441,2743.6285,3.15307
0.561,69.9049,2748.567,3.1532
0.56,69.866,2753.5284,3.15334
0.559,69.8275,2758.5129,3.15347
0.558,69.7893,2763.5205,3.15361
0.557,69.7515,2768.5516,3.15375
0.556,69.7141,2773.6061,3.15388
0.555,69.6771,2778.6842,3.15402
0.554,69.6404,2783.7862,3.15416
0.553,69.604,2788.9122,3.1543
0.552,69.5681,2794.0623,3.15444
0.551,69.5325,2799.2366,3.15458
0.55,69.4972,2804.4355,3.15472
0.549,69.4623,2809.6589,3.15486
0.548,69.4278,2814.9072,3.155
0.547,69.3936,2820.1803,3.15514
0.546,69.3598,2825.4786,3.15528
0.545,69.3263,2830.8022,3.15542
0.544,69.2932,2836.1512,3.15557
0.543,69.2605,2841.5259,3.15571
0.542,69.2281,2846.9263,3.15586
0.541,69.1961,2852.3527,3.156
0.54,69.1644,2857.8053,3.15615
0.539,69.1331,2863.2842,3.15629
0.538,69.1021,2868.7896,3.15644
0.537,69.0715,2874.3217,3.15659
0.536,69.0413,2879.8806,3.15674
0.535,69.0114,2885.4666,3.15689
0.534,68.9818,2891.0799,3.15703
0.533,68.9526,2896.7205,3.15718
0.532,68.9238,2902.3888,3.15733
0.531,68.8953,2908.0849,3.15749
0.53,68.8672,2913.8089,3.15764
0.529,68.8394,2919.5612,3.15779
0.528,68.812,2925.3419,3.15794
0.527,68.7849,2931.1511,3.1581
0.526,68.7582,2936.9891,3.15825
0.525,68.7318,2942.8561,3.1584
0.524,68.7058,2948.7523,3.15856
0.523,68.6801,2954.6779,3.15872
0.522,68.6548,2960.633,3.15887
0.521,68.6298,2966.618,3.15903
0.52,68.6052,2972.633,3.15919
0.519,68.5809,2978.6783,3.15935
0.518,68.557,2984.7539,3.1595
0.517,68.5334,2990.8603,3.15966
0.516,68.5102,2996.9975,3.15982
0.515,68.4873,3003.1658,3.15999
0.514,68.4648,3009.3654,3.16015
0.513,68.4426,3015.5966,3.16031
0.512,68.4208,3021.8595,3.16047
