eta,Re1_c,Taylor,k_c
0.1,140.4918,32298.4579,3.33933
0.099,141.5815,32867.7582,3.34027
0.098,142.694,33453.8076,3.34122
0.097,143.83,34057.2835,3.34217
0.096,144.9902,34678.8981,3.34312
0.095,146.1754,35319.4009,3.34408
0.094,147.3865,35979.5805,3.34503
0.093,148.6241,36660.2677,3.346
0.092,149.8892,37362.3379,3.34697
0.091,151.1827,38086.7141,3.34794
0.09,152.5056,38834.37,3.34891
0.089,153.8587,39606.3337,3.34989
0.088,155.2432,40403.6908,3.35087
0.087,156.6601,41227.5889,3.35185
0.086,158.1105,42079.2417,3.35284
0.085,159.5957,42959.9335,3.35383
0.084,161.1168,43871.0243,3.35482
0.083,162.6751,44813.9555,3.35581
0.082,164.2721,45790.2554,3.35681
0.081,165.9091,46801.546,3.35782
0.08,167.5876,47849.5496,3.35882
0.079,169.3092,48936.0968,3.35983
0.078,171.0755,50063.1343,3.36084
0.077,172.8884,51232.7344,3.36185
0.076,174.7495,52447.1047,3.36287
0.075,176.6608,53708.5985,3.36388
0.074,178.6244,55019.7272,3.3649
0.073,180.6424,56383.1728,3.36592
0.072,182.7171,57801.8024,3.36695
0.071,184.8507,59278.6831,3.36797
0.07,187.0459,60817.1,3.369
0.069,189.3054,62420.5744,3.37003
0.068,191.6318,64092.885,3.37106
0.067,194.0283,65838.0905,3.37209
0.066,196.4979,67660.5553,3.37312
0.065,199.0441,69564.9772,3.37416
0.064,201.6704,71556.4193,3.37519
0.063,204.3806,73640.3438,3.37623
0.062,207.1788,75822.6514,3.37726
0.061,210.0692,78109.7235,3.3783
0.06,213.0565,80508.4709,3.37933
0.059,216.1455,83026.387,3.38037
0.058,219.3415,85671.608,3.3814
0.057,222.6501,88452.981,3.38244
0.056,226.0773,91380.1392,3.38347
0.055,229.6294,94463.5881,3.3845
0.054,233.3135,97714.8023,3.38553
0.053,237.137,101146.3347,3.38655
0.052,241.1078,104771.9413,3.38757
0.051,245.2345,108606.722,3.38859
0.05,249.5265,112667.2826,3.38961
0.049,253.9939,116971.9185,3.39062
0.048,258.6475,121540.8259,3.39163
0.047,263.4991,126396.3448,3.39263
0.046,268.5616,131563.2385,3.39362
0.045,273.849,137069.0166,3.39461
0.044,279.3764,142944.3104,3.39559
0.043,285.1606,149223.3078,3.39657
0.042,291.2197,155944.2632,3.39753
0.041,297.5738,163150.0921,3.39848
0.04,304.2448,170889.0722,3.39943
0.039,311.257,179215.6694,3.40036
0.038,318.637,188191.5168,3.40127
0.037,326.4145,197886.5794,3.40218
0.036,334.6224,208380.5464,3.40306
0.035,343.2972,219764.5023,3.40393
0.034,352.48,232142.9438,3.40479
0.033,362.2164,245636.2262,3.40561
0.032,372.558,260383.5468,3.40642
0.031,383.5629,276546.6051,3.4072
0.03,395.2968,294314.1211,3.40796
0.029,407.8344,313907.4489,3.40868
0.028,421.2611,335587.6007,3.40937
0.027,435.6747,359664.1013,3.41002
0.026,451.1879,386506.2385,3.41063
0.025,467.9313,416557.4811,3.41119
0.024,486.0569,450354.1249,3.4117
0.023,505.743,488549.6458,3.41215
0.022,527.1997,531946.8466,3.41253
0.021,550.6766,581540.7807,3.41284
0.02,576.4725,638576.7874,3.41306
0.019,604.9482,704630.0314,3.41318
0.018,636.5429,781716.1487,3.41319
0.017,671.7976,872447.6983,3.41305
0.016,711.3852,980259.4024,3.41275
0.015,756.1541,1109738.96,3.41226
0.014,807.1887,1267123.848,3.41151
0.013,865.8967,1461066.214,3.41046
0.012,934.1394,1703844.091,3.40901
0.011,1014.4278,2013341.456,3.40704
0.01,1110.23,2416405.035,3.40435
